Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Attendance,Half-time Home Goals,Half-time Away Goals,RoundID,MatchID,Home Team Initials,Away Team Initials
1990,03 Jul 1990- 20:00,Semi-finals,San Paolo,Naples,Italy,1,1,Argentina, win on penalties (3 - 4) ,59978.0,0,0,3464,28,Ita,Arg
1990,04 Jul 1990- 20:00,Semi-finals,Stadio delle Alpi,Turin,Germany FR,1,1,England, win on penalties (4 - 3) ,62628.0,0,0,3464,159,Frg,Eng
1990,07 Jul 1990- 20:00,Match for third place,Stadio San Nicola,Bari,Italy,2,1,England, ,51426.0,0,0,3463,162,Ita,Eng
1990,08 Jul 1990- 20:00,Final,Stadio Olimpico,Rome,Germany FR,1,0,Argentina, ,73603.0,0,0,3462,27,Frg,Arg
1994,17 Jun 1994- 19:30,Group C,Cotton Bowl,Dallas,Spain,2,2,Korea Republic, ,56247.0,0,0,337,3050,Esp,Kor
1994,17 Jun 1994- 15:00,Group C,Soldier Field,Chicago,Germany,1,0,Bolivia, ,63117.0,0,0,337,3049,Ger,Bol
1994,18 Jun 1994- 11:30,Group A,Pontiac Silverdome,Detroit,USA,1,1,Switzerland, ,73425.0,1,1,337,3051,Usa,Sui
1994,18 Jun 1994- 16:00,Group E,Giants Stadium,New York/New Jersey,Italy,0,1,"rn"">Republic of Ireland", ,75338.0,0,1,337,3052,Ita,Irl
1994,18 Jun 1994- 19:30,Group A,Rose Bowl,Los Angeles,Colombia,1,3,Romania, ,91856.0,1,2,337,3053,Col,Rou
1994,19 Jun 1994- 12:30,Group F,Citrus Bowl,Orlando,Belgium,1,0,Morocco, ,61219.0,1,0,337,3054,Bel,Mar
1994,19 Jun 1994- 16:00,Group E,RFK Stadium,Washington Dc,Norway,1,0,Mexico, ,52395.0,0,0,337,3055,Nor,Mex
1994,19 Jun 1994- 19:30,Group B,Rose Bowl,Los Angeles,Cameroon,2,2,Sweden, ,93194.0,1,1,337,3056,Cmr,Swe
1994,20 Jun 1994- 19:30,Group F,RFK Stadium,Washington Dc,Netherlands,2,1,Saudi Arabia, ,50535.0,0,1,337,3058,Ned,Ksa
1994,20 Jun 1994- 16:00,Group B,Stanford Stadium,San Francisco,Brazil,2,0,Russia, ,81061.0,1,0,337,3057,Bra,Rus
