RoundID,MatchID,Team Initials,Coach Name,Line-up,Shirt Number,Player Name
337,3083,Nga,Westerhof Clemens (Ned),N,20,Uche Okafor
337,3083,Gre,Panagoulias Alkis (Gre),N,18,Kyriakos Karataidis
337,3083,Nga,Westerhof Clemens (Ned),N,21,Adepoju
337,3083,Gre,Panagoulias Alkis (Gre),N,20,Elias Atmatzidis
337,3083,Nga,Westerhof Clemens (Ned),N,22,Wilfred Agbonavbare
337,3084,Arg,Basile Alfio (Arg),S,12,Luis Islas
337,3084,Bul,Penev Dimitar (Bul),S,1,Borislav Mihaylov
337,3084,Arg,Basile Alfio (Arg),S,3,Chamot
337,3084,Bul,Penev Dimitar (Bul),S,2,Emil Kremenliev
337,3084,Arg,Basile Alfio (Arg),S,5,Fernando Redondo
337,3084,Bul,Penev Dimitar (Bul),S,3,Ivanov
337,3084,Arg,Basile Alfio (Arg),S,6,Oscar Ruggeri
337,3084,Bul,Penev Dimitar (Bul),S,4,Tsanko Tsvetanov
337,3084,Arg,Basile Alfio (Arg),S,7,Claudio Caniggia
337,3084,Bul,Penev Dimitar (Bul),S,5,Petar Houbchev
337,3084,Arg,Basile Alfio (Arg),S,9,Batistuta
337,3084,Bul,Penev Dimitar (Bul),S,6,Zlatko Yankov
337,3084,Arg,Basile Alfio (Arg),S,13,Fernando Caceres
337,3084,Bul,Penev Dimitar (Bul),S,7,Kostadinov
337,3084,Arg,Basile Alfio (Arg),S,14,Simeone
337,3084,Bul,Penev Dimitar (Bul),S,8,Stoitchkov
337,3084,Arg,Basile Alfio (Arg),S,16,Hernan Diaz
337,3084,Bul,Penev Dimitar (Bul),S,9,Iordan Letchkov
337,3084,Arg,Basile Alfio (Arg),S,19,Balbo
337,3084,Bul,Penev Dimitar (Bul),S,10,Nasko Sirakov
337,3084,Arg,Basile Alfio (Arg),S,20,Leonardo Rodriguez
337,3084,Bul,Penev Dimitar (Bul),S,20,Balakov
337,3084,Arg,Basile Alfio (Arg),N,1,Sergio Goycochea
337,3084,Bul,Penev Dimitar (Bul),N,11,Borimirov
337,3084,Arg,Basile Alfio (Arg),N,2,Sergio Vazquez
337,3084,Bul,Penev Dimitar (Bul),N,12,Plamen Nikolov
337,3084,Arg,Basile Alfio (Arg),N,4,Sensini
337,3084,Bul,Penev Dimitar (Bul),N,13,Yordanov
337,3084,Arg,Basile Alfio (Arg),N,8,Jose Basualdo
337,3084,Bul,Penev Dimitar (Bul),N,14,Boncho Genchev
337,3084,Arg,Basile Alfio (Arg),N,10,Diego Maradona
337,3084,Bul,Penev Dimitar (Bul),N,15,Nikolai Iliev
337,3084,Arg,Basile Alfio (Arg),N,11,Ramon Medina Bello
337,3084,Bul,Penev Dimitar (Bul),N,16,Ilian Kiryakov
337,3084,Arg,Basile Alfio (Arg),N,15,Jorge Borelli
337,3084,Bul,Penev Dimitar (Bul),N,17,Petar Mikhtarski
337,3084,Arg,Basile Alfio (Arg),N,17,Ortega
337,3084,Bul,Penev Dimitar (Bul),N,18,Petar Alexandrov
337,3084,Arg,Basile Alfio (Arg),N,18,Hugo Perez
337,3084,Bul,Penev Dimitar (Bul),N,19,Georgi Georgiev
337,3084,Arg,Basile Alfio (Arg),N,21,Alejandro Mancuso
337,3084,Bul,Penev Dimitar (Bul),N,21,Velko Yotov
337,3084,Arg,Basile Alfio (Arg),N,22,Norberto Scoponi
337,3084,Bul,Penev Dimitar (Bul),N,22,Ivaylo Andonov
338,3085,Ger,Vogts Berti (Ger),S,1,Bodo Illgner
338,3085,Bel,Van Himst Paul (Bel),S,1,Michel Preudhomme
338,3085,Ger,Vogts Berti (Ger),S,4,Kohler
338,3085,Bel,Van Himst Paul (Bel),S,4,Philippe Albert
338,3085,Ger,Vogts Berti (Ger),S,5,Helmer
338,3085,Bel,Van Himst Paul (Bel),S,5,Rudi Smidts
338,3085,Ger,Vogts Berti (Ger),S,6,Guido Buchwald
338,3085,Bel,Van Himst Paul (Bel),S,6,Staelens
338,3085,Ger,Vogts Berti (Ger),S,8,H�Ssler
338,3085,Bel,Van Himst Paul (Bel),S,7,Van Der Elst
338,3085,Ger,Vogts Berti (Ger),S,10,Matth�Us
338,3085,Bel,Van Himst Paul (Bel),S,8,Nilis
338,3085,Ger,Vogts Berti (Ger),S,13,Rudi Voeller
338,3085,Bel,Van Himst Paul (Bel),S,10,Scifo
338,3085,Ger,Vogts Berti (Ger),S,14,Thomas Berthold
338,3085,Bel,Van Himst Paul (Bel),S,13,Georges Grun
338,3085,Ger,Vogts Berti (Ger),S,16,Matthias Sammer
338,3085,Bel,Van Himst Paul (Bel),S,14,Michel De Wolf
338,3085,Ger,Vogts Berti (Ger),S,17,Martin Wagner
338,3085,Bel,Van Himst Paul (Bel),S,15,Marc Emmers
338,3085,Ger,Vogts Berti (Ger),S,18,Klinsmann
338,3085,Bel,Van Himst Paul (Bel),S,17,Josip Weber
338,3085,Ger,Vogts Berti (Ger),N,2,Thomas Strunz
338,3085,Bel,Van Himst Paul (Bel),N,2,Dirk Medved
338,3085,Ger,Vogts Berti (Ger),N,3,Andreas Brehme
338,3085,Bel,Van Himst Paul (Bel),N,3,Borkelmans
338,3085,Ger,Vogts Berti (Ger),N,7,M�Ller
338,3085,Bel,Van Himst Paul (Bel),N,9,Marc De Grijse
338,3085,Ger,Vogts Berti (Ger),N,9,Karlheinz Riedle
338,3085,Bel,Van Himst Paul (Bel),N,11,Alex Czerniatynski
338,3085,Ger,Vogts Berti (Ger),N,11,Stefan Kuntz
338,3085,Bel,Van Himst Paul (Bel),N,12,Filip De Wilde
338,3085,Ger,Vogts Berti (Ger),N,12,Andreas Koepke
338,3085,Bel,Van Himst Paul (Bel),N,16,Boffin
338,3085,Ger,Vogts Berti (Ger),N,15,Maurizio Gaudino
338,3085,Bel,Van Himst Paul (Bel),N,18,Wilmots
338,3085,Ger,Vogts Berti (Ger),N,19,Ulf Kirsten
338,3085,Bel,Van Himst Paul (Bel),N,19,Eric Van Meir
338,3085,Ger,Vogts Berti (Ger),N,20,Stefan Effenberg
338,3085,Bel,Van Himst Paul (Bel),N,20,Dany Verlinden
338,3085,Ger,Vogts Berti (Ger),N,21,Mario Basler
338,3085,Bel,Van Himst Paul (Bel),N,21,Stephane Van Der Heyden
338,3085,Ger,Vogts Berti (Ger),N,22,Oliver Kahn
338,3085,Bel,Van Himst Paul (Bel),N,22,Pascal Renier
338,3086,Esp,Clemente Javier (Esp),S,1,Zubizarreta
338,3086,Sui,Roy Hodgson (Eng),S,1,Marco Pascolo
338,3086,Esp,Clemente Javier (Esp),S,2,Ferrer
338,3086,Sui,Roy Hodgson (Eng),S,2,Marc Hottiger
338,3086,Esp,Clemente Javier (Esp),S,4,Jose Camarasa
338,3086,Sui,Roy Hodgson (Eng),S,3,Yvan Quentin
338,3086,Esp,Clemente Javier (Esp),S,5,Abelardo
338,3086,Sui,Roy Hodgson (Eng),S,4,Dominique Herr
338,3086,Esp,Clemente Javier (Esp),S,6,R. Hierro
338,3086,Sui,Roy Hodgson (Eng),S,5,Alain Geiger
338,3086,Esp,Clemente Javier (Esp),S,7,Goikoetxea
338,3086,Sui,Roy Hodgson (Eng),S,6,Georges Bregy
338,3086,Esp,Clemente Javier (Esp),S,10,Jose Maria Bakero
338,3086,Sui,Roy Hodgson (Eng),S,8,Christophe Ohrel
338,3086,Esp,Clemente Javier (Esp),S,12,Sergi
338,3086,Sui,Roy Hodgson (Eng),S,9,Adrian Knup
338,3086,Esp,Clemente Javier (Esp),S,18,Alkorta M.
338,3086,Sui,Roy Hodgson (Eng),S,10,Ciriaco Sforza
338,3086,Esp,Clemente Javier (Esp),S,20,Nadal
338,3086,Sui,Roy Hodgson (Eng),S,11,Stephane Chapuisat
338,3086,Esp,Clemente Javier (Esp),S,21,Luis Enrique
338,3086,Sui,Roy Hodgson (Eng),S,16,Thomas Bickel
338,3086,Esp,Clemente Javier (Esp),N,3,Jorge Otero
338,3086,Sui,Roy Hodgson (Eng),N,7,Alain Sutter
338,3086,Esp,Clemente Javier (Esp),N,8,J. Guerrero
338,3086,Sui,Roy Hodgson (Eng),N,12,Stephan Lehmann
338,3086,Esp,Clemente Javier (Esp),N,9,Pep Guardiola
338,3086,Sui,Roy Hodgson (Eng),N,13,Andy Egli
338,3086,Esp,Clemente Javier (Esp),N,11,Txiki Beguiristain
338,3086,Sui,Roy Hodgson (Eng),N,14,Nestor Subiat
338,3086,Esp,Clemente Javier (Esp),N,13,Ca�Izares
338,3086,Sui,Roy Hodgson (Eng),N,15,Marco Grassi
338,3086,Esp,Clemente Javier (Esp),N,14,Juanele
338,3086,Sui,Roy Hodgson (Eng),N,17,Sebastien Fournier
338,3086,Esp,Clemente Javier (Esp),N,15,Jose Luis Caminero
338,3086,Sui,Roy Hodgson (Eng),N,18,Martin Rueda
338,3086,Esp,Clemente Javier (Esp),N,16,Felipe Minambres
338,3086,Sui,Roy Hodgson (Eng),N,19,Juerg Studer
338,3086,Esp,Clemente Javier (Esp),N,17,Voro
338,3086,Sui,Roy Hodgson (Eng),N,20,Patrick Sylvestre
